"","committee_acronym","parliament_number","session_number","date_change","position","full_name"
"171.1","LIAI","38","1","2004-10-07","Associate Member","Michel Guimond"
"171.2","LIAI","38","1","2004-10-07","Associate Member","Dale Johnston"
"172.1","LIAI","38","1","2004-10-12","Associate Member","Michel Guimond"
"172.2","LIAI","38","1","2004-10-12","Associate Member","Yvan Loubier"
"172.3","LIAI","38","1","2004-10-12","Associate Member","Denise Poirier-Rivard"
"172.4","LIAI","38","1","2004-10-12","Associate Member","Dale Johnston"
"172.5","LIAI","38","1","2004-10-12","Associate Member","Charlie Penson"
"172.6","LIAI","38","1","2004-10-12","Associate Member","Gerry Ritz"
"173.1","LIAI","38","1","2004-10-13","Associate Member","Garry Breitkreuz"
"173.2","LIAI","38","1","2004-10-13","Associate Member","Dale Johnston"
"173.3","LIAI","38","1","2004-10-13","Associate Member","Gerald Keddy"
"173.4","LIAI","38","1","2004-10-13","Associate Member","Charlie Penson"
"173.5","LIAI","38","1","2004-10-13","Associate Member","Gerry Ritz"
"173.6","LIAI","38","1","2004-10-13","Associate Member","Michel Guimond"
"173.7","LIAI","38","1","2004-10-13","Associate Member","Yvan Loubier"
"173.8","LIAI","38","1","2004-10-13","Associate Member","Richard Marceau"
"173.9","LIAI","38","1","2004-10-13","Associate Member","Denise Poirier-Rivard"
"173.10","LIAI","38","1","2004-10-13","Associate Member","Peter Stoffer"
"174.1","LIAI","38","1","2004-10-14","Associate Member","Garry Breitkreuz"
"174.2","LIAI","38","1","2004-10-14","Associate Member","Rick Casson"
"174.3","LIAI","38","1","2004-10-14","Associate Member","Paul Forseth"
"174.4","LIAI","38","1","2004-10-14","Associate Member","Dale Johnston"
"174.5","LIAI","38","1","2004-10-14","Associate Member","Gerald Keddy"
"174.6","LIAI","38","1","2004-10-14","Associate Member","Inky Mark"
"174.7","LIAI","38","1","2004-10-14","Associate Member","Charlie Penson"
"174.8","LIAI","38","1","2004-10-14","Associate Member","Gerry Ritz"
"174.9","LIAI","38","1","2004-10-14","Associate Member","Kevin Sorenson"
"174.10","LIAI","38","1","2004-10-14","Associate Member","Claude Bachand"
"174.11","LIAI","38","1","2004-10-14","Associate Member","Meili Faille"
"174.12","LIAI","38","1","2004-10-14","Associate Member","Christiane Gagnon"
"174.13","LIAI","38","1","2004-10-14","Associate Member","Michel Guimond"
"174.14","LIAI","38","1","2004-10-14","Associate Member","Francine Lalonde"
"174.15","LIAI","38","1","2004-10-14","Associate Member","Yvan Loubier"
"174.16","LIAI","38","1","2004-10-14","Associate Member","Richard Marceau"
"174.17","LIAI","38","1","2004-10-14","Associate Member","Denise Poirier-Rivard"
"174.18","LIAI","38","1","2004-10-14","Associate Member","Pat Martin"
"174.19","LIAI","38","1","2004-10-14","Associate Member","Peter Stoffer"
"174.20","LIAI","38","1","2004-10-14","Associate Member","Paul Szabo"
"175.1","LIAI","38","1","2004-10-18","Associate Member","Garry Breitkreuz"
"175.2","LIAI","38","1","2004-10-18","Associate Member","Rick Casson"
"175.3","LIAI","38","1","2004-10-18","Associate Member","Paul Forseth"
"175.4","LIAI","38","1","2004-10-18","Associate Member","Dale Johnston"
"175.5","LIAI","38","1","2004-10-18","Associate Member","Gerald Keddy"
"175.6","LIAI","38","1","2004-10-18","Associate Member","Inky Mark"
"175.7","LIAI","38","1","2004-10-18","Associate Member","Charlie Penson"
"175.8","LIAI","38","1","2004-10-18","Associate Member","Gerry Ritz"
"175.9","LIAI","38","1","2004-10-18","Associate Member","Gary Schellenberger"
"175.10","LIAI","38","1","2004-10-18","Associate Member","Kevin Sorenson"
"175.11","LIAI","38","1","2004-10-18","Associate Member","Claude Bachand"
"175.12","LIAI","38","1","2004-10-18","Associate Member","Meili Faille"
"175.13","LIAI","38","1","2004-10-18","Associate Member","Christiane Gagnon"
"175.14","LIAI","38","1","2004-10-18","Associate Member","Michel Guimond"
"175.15","LIAI","38","1","2004-10-18","Associate Member","Maka Kotto"
"175.16","LIAI","38","1","2004-10-18","Associate Member","Francine Lalonde"
"175.17","LIAI","38","1","2004-10-18","Associate Member","Yvan Loubier"
"175.18","LIAI","38","1","2004-10-18","Associate Member","Richard Marceau"
"175.19","LIAI","38","1","2004-10-18","Associate Member","Denise Poirier-Rivard"
"175.20","LIAI","38","1","2004-10-18","Associate Member","Pat Martin"
"175.21","LIAI","38","1","2004-10-18","Associate Member","Peter Stoffer"
"175.22","LIAI","38","1","2004-10-18","Associate Member","Paul Szabo"
"176.1","LIAI","38","1","2004-10-19","Associate Member","Garry Breitkreuz"
"176.2","LIAI","38","1","2004-10-19","Associate Member","Rick Casson"
"176.3","LIAI","38","1","2004-10-19","Associate Member","Paul Forseth"
"176.4","LIAI","38","1","2004-10-19","Associate Member","Nina Grewal"
"176.5","LIAI","38","1","2004-10-19","Associate Member","Jeremy Harrison"
"176.6","LIAI","38","1","2004-10-19","Associate Member","Dale Johnston"
"176.7","LIAI","38","1","2004-10-19","Associate Member","Gerald Keddy"
"176.8","LIAI","38","1","2004-10-19","Associate Member","Inky Mark"
"176.9","LIAI","38","1","2004-10-19","Associate Member","Rob Merrifield"
"176.10","LIAI","38","1","2004-10-19","Associate Member","Charlie Penson"
"176.11","LIAI","38","1","2004-10-19","Associate Member","Lee Richardson"
"176.12","LIAI","38","1","2004-10-19","Associate Member","Gerry Ritz"
"176.13","LIAI","38","1","2004-10-19","Associate Member","Gary Schellenberger"
"176.14","LIAI","38","1","2004-10-19","Associate Member","Werner Schmidt"
"176.15","LIAI","38","1","2004-10-19","Associate Member","Kevin Sorenson"
"176.16","LIAI","38","1","2004-10-19","Associate Member","Claude Bachand"
"176.17","LIAI","38","1","2004-10-19","Associate Member","Bernard Bigras"
"176.18","LIAI","38","1","2004-10-19","Associate Member","Bernard Cleary"
"176.19","LIAI","38","1","2004-10-19","Associate Member","Paul Crête"
"176.20","LIAI","38","1","2004-10-19","Associate Member","Meili Faille"
"176.21","LIAI","38","1","2004-10-19","Associate Member","Christiane Gagnon"
"176.22","LIAI","38","1","2004-10-19","Associate Member","Michel Guimond"
"176.23","LIAI","38","1","2004-10-19","Associate Member","Maka Kotto"
"176.24","LIAI","38","1","2004-10-19","Associate Member","Francine Lalonde"
"176.25","LIAI","38","1","2004-10-19","Associate Member","Yvan Loubier"
"176.26","LIAI","38","1","2004-10-19","Associate Member","Richard Marceau"
"176.27","LIAI","38","1","2004-10-19","Associate Member","Réal Ménard"
"176.28","LIAI","38","1","2004-10-19","Associate Member","Denise Poirier-Rivard"
"176.29","LIAI","38","1","2004-10-19","Associate Member","Benoît Sauvageau"
"176.30","LIAI","38","1","2004-10-19","Associate Member","Jean Crowder"
"176.31","LIAI","38","1","2004-10-19","Associate Member","Pat Martin"
"176.32","LIAI","38","1","2004-10-19","Associate Member","Peter Stoffer"
"176.33","LIAI","38","1","2004-10-19","Associate Member","Mark Holland"
