"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/733014","2017-06-29","Department for Education","2017-06-27","To ask the Secretary of State for Education, what recent representations she has received on funding for schools in Oxfordshire; and if she will make a statement.","Biography information for Mr Edward Vaizey","Mr Edward Vaizey","House of Commons Tabled Parliamentary Question 2017/19 1355","1355"
"http://data.parliament.uk/resources/733015","2017-06-29","Department for Business, Energy and Industrial Strategy","2017-06-27","To ask the Secretary of State for Business, Energy and Industrial Strategy, what assessment he has made of the potential effect of the UK leaving the (a) European Chemicals Agency and (b) European Maritime Agency on (i) businesses and (ii) public safety in Linlithgow and East Falkirk constituency.","Biography information for Martyn Day","Martyn Day","House of Commons Tabled Parliamentary Question 2017/19 1375","1375"
"http://data.parliament.uk/resources/733016","2017-07-03","Department for Environment, Food and Rural Affairs","2017-06-27","To ask the Secretary of State for Environment, Food and Rural Affairs, what representations the Government has made on proposals from the European Parliament to set a mandatory target to halve EU food waste by 2030 and to introduce a food waste hierarchy as part of trialogue discussions between the European Commission, the European Parliament and European Council on the Circular Economy package.","Biography information for Kerry McCarthy","Kerry McCarthy","House of Commons Tabled Parliamentary Question 2017/19 1490","1490"
"http://data.parliament.uk/resources/733017","2017-07-03","Department of Health","2017-06-27","To ask the Secretary of State for Health, what steps he is taking to increase the number of nurses employed in the NHS; and if he will make a statement.","Biography information for Mr Laurence Robertson","Mr Laurence Robertson","House of Commons Tabled Parliamentary Question 2017/19 1476","1476"
"http://data.parliament.uk/resources/733018","2017-07-03","Department for Education","2017-06-27","To ask the Secretary of State for Education, when she plans to bring forward further proposals for a National Funding Formula; and if she will make a statement.","Biography information for Mr Laurence Robertson","Mr Laurence Robertson","House of Commons Tabled Parliamentary Question 2017/19 1477","1477"
"http://data.parliament.uk/resources/733019","2017-07-03","Department of Health","2017-06-27","To ask the Secretary of State for Health, whether he expects the trial to compare universal screening for Group B Strep carriage in late pregnancy with usual risk-based care to be completed in advance of UK National Screening Committee's guidance review on Group B Strep in 2019-20.","Biography information for Sir Nicholas Soames","Sir Nicholas Soames","House of Commons Tabled Parliamentary Question 2017/19 1494","1494"
"http://data.parliament.uk/resources/733020","2017-07-03","Department for Environment, Food and Rural Affairs","2017-06-27","To ask the Secretary of State for Environment, Food and Rural Affairs, what responsibility landowners have for controlling Hogweed growth on their land; and if he will make a statement.","Biography information for Mr Laurence Robertson","Mr Laurence Robertson","House of Commons Tabled Parliamentary Question 2017/19 1479","1479"
"http://data.parliament.uk/resources/733021","2017-07-03","Department for Communities and Local Government","2017-06-27","To ask the Secretary of State for Communities and Local Government, what steps he is taking to survey and test external cladding on private sector accommodation.","Biography information for Clive Lewis","Clive Lewis","House of Commons Tabled Parliamentary Question 2017/19 1495","1495"
"http://data.parliament.uk/resources/733022","2017-07-03","Department of Health","2017-06-27","To ask the Secretary of State for Health, what the interest rate is for 2015-16 (a) revolving and (b) rolling maturity interim revenue support loans to each NHS hospital trust; and what that interest rate was at the start of each of those loans.","Biography information for Stella Creasy","Stella Creasy","House of Commons Tabled Parliamentary Question 2017/19 1421","1421"
"http://data.parliament.uk/resources/733023","2017-07-03","Ministry of Defence","2017-06-27","To ask the Secretary of State for Defence, what assessment his Department has made of the extent to which climate change is a threat to national security.","Biography information for Sir Nicholas Soames","Sir Nicholas Soames","House of Commons Tabled Parliamentary Question 2017/19 1481","1481"
"http://data.parliament.uk/resources/733024","2017-06-29","Department for International Development","2017-06-27","To ask the Secretary of State for International Development, what plans she has to support programmes to reduce tropical diseases in affected countries.","Biography information for Jim Shannon","Jim Shannon","House of Commons Tabled Parliamentary Question 2017/19 1496","1496"
"http://data.parliament.uk/resources/733025","2017-07-03","Department of Health","2017-06-27","To ask the Secretary of State for Health, how much was (a) drawn and (b) repaid in year in 2016-17 by each NHS hospital trust for outstanding 2016-17 (i) revolving and (ii) rolling maturity interim revenue support loans; and what the (A) loan term and (B) interest rate charged was for each of those loans.","Biography information for Stella Creasy","Stella Creasy","House of Commons Tabled Parliamentary Question 2017/19 1422","1422"
"http://data.parliament.uk/resources/733026","2017-06-29","Department of Health","2017-06-27","To ask the Secretary of State for Health, what plans he has to make high-tech cooler vests for oxygen-starved bodies available on the NHS.","Biography information for Jim Shannon","Jim Shannon","House of Commons Tabled Parliamentary Question 2017/19 1497","1497"
