"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/390258","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, what proportion of the budget of the Office of the Children's Commissioner was spent on administration in each of the last five years.","Biography information for Simon Danczuk","Simon Danczuk","House of Commons Tabled Parliamentary Question 2015/16 7472","7472"
"http://data.parliament.uk/resources/390259","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, how many and what proportion of early years educators qualified to level 3 were working with children aged (a) two, (b) three and (c) four in each of the last five years.","Biography information for Liz Kendall","Liz Kendall","House of Commons Tabled Parliamentary Question 2015/16 7479","7479"
"http://data.parliament.uk/resources/390260","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, how much funding her Department has provided to further education and sixth form colleges since 2010 to support them in tackling homophobic and transphobic bullying.","Biography information for Nic Dakin","Nic Dakin","House of Commons Tabled Parliamentary Question 2015/16 7381","7381"
"http://data.parliament.uk/resources/390261","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, what steps she is taking to ensure pupils' names are not removed from school admission registers without an adequate explanation of the child's whereabouts.","Biography information for Liam Byrne","Liam Byrne","House of Commons Tabled Parliamentary Question 2015/16 7416","7416"
"http://data.parliament.uk/resources/390262","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, which schools opted not to do the Baseline Assessment tests in September and October 2015.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2015/16 7363","7363"
"http://data.parliament.uk/resources/390263","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, what steps she is taking to ensure that parenting and life skills are reflected in the national curriculum from primary school to GCSE level.","Biography information for Frank Field","Frank Field","House of Commons Tabled Parliamentary Question 2015/16 7390","7390"
"http://data.parliament.uk/resources/390264","2015-07-20","Department for Business, Innovation and Skills","2015-07-15","To ask the Secretary of State for Business, Innovation and Skills, whether small businesses will be able to access funding from the proposed apprenticeship levy in order to recruit apprentices; and if he will make a statement.","Biography information for Nic Dakin","Nic Dakin","House of Commons Tabled Parliamentary Question 2015/16 7354","7354"
"http://data.parliament.uk/resources/390265","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, when she plans to make a decision on whether St Ives First School is to be permitted to increase its age range from September 2015.","Biography information for Sir Christopher Chope","Mr Christopher Chope","House of Commons Tabled Parliamentary Question 2015/16 7291","7291"
"http://data.parliament.uk/resources/390266","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, how many hours Sure Start centres were open to the public in each local authority area in each year from 2010 to 2015.","Biography information for Toby Perkins","Toby Perkins","House of Commons Tabled Parliamentary Question 2015/16 7336","7336"
"http://data.parliament.uk/resources/390267","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, how many full-time staff were employed in Sure Start centres in each local authority area in each year from 2010 to 2015.","Biography information for Toby Perkins","Toby Perkins","House of Commons Tabled Parliamentary Question 2015/16 7337","7337"
"http://data.parliament.uk/resources/390268","2015-07-20","Ministry of Justice","2015-07-15","To ask the Secretary of State for Justice, how many emergency protection orders there were in England between 2010 and 2015; and if he will bring forward legislative proposals to increase the level of scrutiny for such orders.","Biography information for Mr Douglas Carswell","Mr Douglas Carswell","House of Commons Tabled Parliamentary Question 2015/16 7326","7326"
"http://data.parliament.uk/resources/390269","2015-07-21","Department for Business, Innovation and Skills","2015-07-15","To ask the Secretary of State for Business, Innovation and Skills, how many recipients of student maintenance grants there are in each parliamentary constituency.","Biography information for Jonathan Reynolds","Jonathan Reynolds","House of Commons Tabled Parliamentary Question 2015/16 7227","7227"
"http://data.parliament.uk/resources/390270","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, what guidance her Department issues on the teaching of additional mathematics GCSE in schools.","Biography information for Jon Trickett","Jon Trickett","House of Commons Tabled Parliamentary Question 2015/16 7192","7192"
"http://data.parliament.uk/resources/390271","2015-07-20","Department for Education","2015-07-15","To ask the Secretary of State for Education, what assessment she has made of shortages of teachers of each subject in (a) Bradford district area, (b) West Yorkshire and (c) England.","Biography information for Philip Davies","Philip Davies","House of Commons Tabled Parliamentary Question 2015/16 7193","7193"
