"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/458096","2016-03-09","Foreign and Commonwealth Office","2016-03-07","To ask the Secretary of State for Foreign and Commonwealth Affairs, what assessment he has made of the compatibility with international law of NATO ships operating in the Aegean Sea returning migrants to Turkey.","Biography information for Thangam Debbonaire","Thangam Debbonaire","House of Commons Tabled Parliamentary Question 2015/16 30015","30015"
"http://data.parliament.uk/resources/458097","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, how many hospitals have revised their policy on car parking since the issue of his Department's updated guidance in October 2015.","Biography information for Ben Howlett","Ben Howlett","House of Commons Tabled Parliamentary Question 2015/16 30035","30035"
"http://data.parliament.uk/resources/458098","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, whether he plans to increase the number of advocacy services available to mentally ill people before they are sectioned.","Biography information for Ben Howlett","Ben Howlett","House of Commons Tabled Parliamentary Question 2015/16 30036","30036"
"http://data.parliament.uk/resources/458099","2016-03-10","Department of Health","2016-03-07","To ask the Secretary of State for Health, for what reasons the number of doctors under training per year is capped.","Biography information for Sir Nicholas Soames","Sir Nicholas Soames","House of Commons Tabled Parliamentary Question 2015/16 30081","30081"
"http://data.parliament.uk/resources/458100","2016-03-10","Department of Health","2016-03-07","To ask the Secretary of State for Health, what steps he is taking to use big data in healthcare.","Biography information for Sir Nicholas Soames","Sir Nicholas Soames","House of Commons Tabled Parliamentary Question 2015/16 30082","30082"
"http://data.parliament.uk/resources/458101","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, what support is provided to healthcare professionals to diagnose and reduce malnutrition in adults; what recent assessment he has made of the effectiveness of this support; and if he will make a statement.","Biography information for Andrew Gwynne","Andrew Gwynne","House of Commons Tabled Parliamentary Question 2015/16 30026","30026"
"http://data.parliament.uk/resources/458102","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, what recent assessment his Department has made of the level of adult malnutrition; what steps his Department is taking to reduce adult malnutrition; and if he will make a statement.","Biography information for Andrew Gwynne","Andrew Gwynne","House of Commons Tabled Parliamentary Question 2015/16 30024","30024"
"http://data.parliament.uk/resources/458103","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, what estimate his Department has made of the cost to the NHS of malnutrition amongst adults.","Biography information for Andrew Gwynne","Andrew Gwynne","House of Commons Tabled Parliamentary Question 2015/16 30025","30025"
"http://data.parliament.uk/resources/458104","2016-03-10","Department of Health","2016-03-07","To ask the Secretary of State for Health, what steps his Department is taking to make the drug Everolimus available for the treatment of patients with tuberous sclerosis; and when that drug will be available on the NHS.","Biography information for Mr Roger Godsiff","Mr Roger Godsiff","House of Commons Tabled Parliamentary Question 2015/16 30087","30087"
"http://data.parliament.uk/resources/458105","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, how many people were recorded as having (a) an admission and (b) a discharge episode with a (i) primary and (ii) secondary diagnosis of (A) malnutrition, (B) nutritional anaemias and (C) other nutritional deficiencies in the NHS in each year since 2010-11.","Biography information for Andrew Gwynne","Andrew Gwynne","House of Commons Tabled Parliamentary Question 2015/16 30023","30023"
"http://data.parliament.uk/resources/458106","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, how many (a) registered care home and (b) nursing home places there were in (i) Calderdale and (ii) West Yorkshire in the current year and each of the last five years.","Biography information for Craig Whittaker","Craig Whittaker","House of Commons Tabled Parliamentary Question 2015/16 29881","29881"
"http://data.parliament.uk/resources/458107","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, what representations he has received from patient groups on the contaminated blood compensation consultation.","Biography information for Mr Nicholas Brown","Mr Nicholas Brown","House of Commons Tabled Parliamentary Question 2015/16 29901","29901"
"http://data.parliament.uk/resources/458108","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, what support his Department gives to children with tuberous sclerosis complex.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 29899","29899"
"http://data.parliament.uk/resources/458109","2016-03-09","Department of Health","2016-03-07","To ask the Secretary of State for Health, if he will take steps to ensure that access to Everolimus for children with tuberous sclerosis complex-related kidney tumours is included in the NHS England draft commissioning policy on that drug.","Biography information for Greg Mulholland","Greg Mulholland","House of Commons Tabled Parliamentary Question 2015/16 29900","29900"
"http://data.parliament.uk/resources/458110","2016-03-10","Department of Health","2016-03-07","To ask the Secretary of State for Health, pursuant to the Answer of 3 March 2016 to Question 28945, what the statistics referred to in that question were for (a) Barnet Hospital, (b) Chase Farm Hospital and (c) Royal Free Hospital.","Biography information for Joan Ryan","Joan Ryan","House of Commons Tabled Parliamentary Question 2015/16 29972","29972"
