"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/1145019","2019-09-09","Foreign and Commonwealth Office","2019-09-05","To ask the Secretary of State for Foreign and Commonwealth Affairs, pursuant to the Answer of 3 September 2019 to Question 281690 on Iran: tankers, whether the US Administration asked the UK to support the Gibraltar-led operation.","Biography information for Caroline Lucas","Caroline Lucas","House of Commons Tabled Parliamentary Question 2017/19 287521","287521"
"http://data.parliament.uk/resources/1145020","2019-09-10","Department for Education","2019-09-05","To ask the Secretary of State for Education, what steps he is taking to increase funding for sixth form colleges in England in 2019-20.","Biography information for Mr Gavin Shuker","Mr Gavin Shuker","House of Commons Tabled Parliamentary Question 2017/19 287522","287522"
"http://data.parliament.uk/resources/1145021","2019-09-10","Home Office","2019-09-05","To ask the Secretary of State for the Home Department, what estimate she has made of the number of applicants to the EU Settlement Scheme who are resident in Luton who have (a) been granted settled status, (b) been granted pre-settled status and (iii) had their application turned down in each year since the introduction of the scheme.","Biography information for Mr Gavin Shuker","Mr Gavin Shuker","House of Commons Tabled Parliamentary Question 2017/19 287523","287523"
"http://data.parliament.uk/resources/1145022","2019-09-09","Department for Transport","2019-09-05","To ask the Secretary of State for Transport, what information his Department holds on (a) the peak seat capacity and (b) demand for rail services between Woking to London Waterloo in each peak morning hour.","Biography information for Mr Jonathan Lord","Mr Jonathan Lord","House of Commons Tabled Parliamentary Question 2017/19 287524","287524"
"http://data.parliament.uk/resources/1145023","2019-09-09","Department of Health and Social Care","2019-09-05","To ask the Secretary of State for Health and Social Care, what steps his Department has taken to (a) measure and (b) improve patient experience and quality of compassionate care.","Biography information for Mr Jonathan Lord","Mr Jonathan Lord","House of Commons Tabled Parliamentary Question 2017/19 287525","287525"
"http://data.parliament.uk/resources/1145024","2019-09-10","Department for Education","2019-09-05","To ask the Secretary of State for Education, what guidance his Department has issued to schools on the eligibility of EU citizens without settled status to receive state-funded education up to the age of 18.","Biography information for Mr Gavin Shuker","Mr Gavin Shuker","House of Commons Tabled Parliamentary Question 2017/19 287526","287526"
"http://data.parliament.uk/resources/1145025","2019-09-09","Department for Transport","2019-09-05","To ask the Secretary of State for Transport, how many train services from Woking to London Waterloo were cancelled as a result of train reliability issues in the last six months.","Biography information for Mr Jonathan Lord","Mr Jonathan Lord","House of Commons Tabled Parliamentary Question 2017/19 287527","287527"
"http://data.parliament.uk/resources/1145026","2019-09-09","Department for Education","2019-09-05","To ask the Secretary of State for Education, what plans his Department has to help meet the demand for secondary school places in Surrey.","Biography information for Mr Jonathan Lord","Mr Jonathan Lord","House of Commons Tabled Parliamentary Question 2017/19 287528","287528"
"http://data.parliament.uk/resources/1145027","2019-09-09","Ministry of Housing, Communities and Local Government","2019-09-05","To ask the Secretary of State for Housing, Communities and Local Government, whether he plans to strengthen local authorities' powers to regulate private car parks.","Biography information for Mr Jonathan Lord","Mr Jonathan Lord","House of Commons Tabled Parliamentary Question 2017/19 287529","287529"
"http://data.parliament.uk/resources/1145028","2019-09-09","Department for Exiting the European Union ","2019-09-05","To ask the Secretary of State for Exiting the European Union, how many body bags have been stockpiled for use in Wales as part of contingency planning for the UK leaving the EU without a withdrawal agreement.","Biography information for Jonathan Edwards","Jonathan Edwards","House of Commons Tabled Parliamentary Question 2017/19 287530","287530"
