"uri","answer date","answering body","date tabled","question text","tabling member > label","tabling member printed","title","uin"
"http://data.parliament.uk/resources/768869","2017-10-16","HM Treasury","2017-10-11","To ask Mr Chancellor of the Exchequer, what recent estimate his Department has made of the number of supply chain jobs in the UK supported by (a) High Speed 2, (b) Heathrow expansion, (c) Hinkley Point nuclear power station and (d) Crossrail 2.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107242","107242"
"http://data.parliament.uk/resources/768870","2017-10-16","HM Treasury","2017-10-11","To ask Mr Chancellor of the Exchequer, what estimate he has made of the level of the public sector net debt by June 2022.","Biography information for Mr Gregory Campbell","Mr Gregory Campbell","House of Commons Tabled Parliamentary Question 2017/19 107265","107265"
"http://data.parliament.uk/resources/768871","2017-10-16","HM Treasury","2017-10-11","To ask Mr Chancellor of the Exchequer, what estimate he has made of the potential number of businesses that will relocate to Northern Ireland as a result of the introduction of trading profits taxable at the Northern Ireland rate.","Biography information for Peter Dowd","Peter Dowd","House of Commons Tabled Parliamentary Question 2017/19 107108","107108"
"http://data.parliament.uk/resources/768872","2017-10-16","HM Treasury","2017-10-11","To ask Mr Chancellor of the Exchequer, what assessment the Government has made of the effect of trading profits taxable at the Northern Ireland rate on UK tax revenues.","Biography information for Peter Dowd","Peter Dowd","House of Commons Tabled Parliamentary Question 2017/19 107109","107109"
"http://data.parliament.uk/resources/768873","2017-10-16","HM Treasury","2017-10-11","To ask Mr Chancellor of the Exchequer, what the cost to the public purse was of business investment relief in (a) 2013, (b) 2014, (c) 2015 and (d) 2016.","Biography information for Peter Dowd","Peter Dowd","House of Commons Tabled Parliamentary Question 2017/19 107110","107110"
"http://data.parliament.uk/resources/768874","2017-10-16","HM Treasury","2017-10-11","To ask Mr Chancellor of the Exchequer, how many people received business investment relief in (a) 2013, (b) 2014, (c) 2015 and (d) 2016.","Biography information for Peter Dowd","Peter Dowd","House of Commons Tabled Parliamentary Question 2017/19 107117","107117"
"http://data.parliament.uk/resources/768875","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, if he will list the local authorities that have made a request for financial assistance for fire safety work in tower blocks; how much such assistance has been requested in each case; whether that has been for grant, loan or extra borrowing approval; and whether the Government has agreed to any additional grant, loan or borrowing approval.","Biography information for Mr Clive Betts","Mr Clive Betts","House of Commons Tabled Parliamentary Question 2017/19 107115","107115"
"http://data.parliament.uk/resources/768876","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what representations his Department has made to the two accredited trade associations on the practice of credit clamping.","Biography information for Andrew Gwynne","Andrew Gwynne","House of Commons Tabled Parliamentary Question 2017/19 107127","107127"
"http://data.parliament.uk/resources/768877","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, pursuant to the Answer of 20 September 2017 to Question 7325, if his Department will issue additional fire safety advice in the period before the reviews and inquiry are complete.","Biography information for Andrew Gwynne","Andrew Gwynne","House of Commons Tabled Parliamentary Question 2017/19 107129","107129"
"http://data.parliament.uk/resources/768878","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what constitutes exceptional circumstances in his Department's planning guidance when applications to build on land designated as green belt are considered.","Biography information for Mr Laurence Robertson","Mr Laurence Robertson","House of Commons Tabled Parliamentary Question 2017/19 107174","107174"
"http://data.parliament.uk/resources/768879","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what information his Department holds on the number of households from the London Borough of Haringey who have been placed in temporary accommodation outside of that borough in the last 12 months.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107241","107241"
"http://data.parliament.uk/resources/768880","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what estimate his Department has made of the proportion of temporary accommodation stock that is in disrepair and requires maintenance so that the properties are fit for human habitation in (a) the London Borough of Haringey and (b) London.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107244","107244"
"http://data.parliament.uk/resources/768881","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what information his Department holds on the average length of time that a household spends in temporary accommodation in (a) the London Borough of Haringey and (b) London.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107245","107245"
"http://data.parliament.uk/resources/768882","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what recent assessment his Department has made of the relative accessibility to wheelchair users of shops in England.","Biography information for Oliver Dowden","Oliver Dowden","House of Commons Tabled Parliamentary Question 2017/19 107184","107184"
"http://data.parliament.uk/resources/768883","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what steps his Department is taking to ensure that high street shops are wheelchair accessible.","Biography information for Oliver Dowden","Oliver Dowden","House of Commons Tabled Parliamentary Question 2017/19 107183","107183"
"http://data.parliament.uk/resources/768884","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what steps his Department is taking to ensure that local authorities have appropriate powers to re-coup the cost of repairing damage caused by unauthorised Traveller encampments.","Biography information for Oliver Dowden","Oliver Dowden","House of Commons Tabled Parliamentary Question 2017/19 107180","107180"
"http://data.parliament.uk/resources/768885","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what steps his Department is taking to enable local authorities to expedite the removal of unauthorised Traveller encampments.","Biography information for Oliver Dowden","Oliver Dowden","House of Commons Tabled Parliamentary Question 2017/19 107181","107181"
"http://data.parliament.uk/resources/768886","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what his policy is on statutory provisions to ensure that all shops in England have facilities to enable wheelchair access; and if he will make a statement.","Biography information for Oliver Dowden","Oliver Dowden","House of Commons Tabled Parliamentary Question 2017/19 107182","107182"
"http://data.parliament.uk/resources/768887","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what information his Department holds on the average amount of time that a household spends in bed and breakfast accommodation, hotels and hostels as an interim accommodation measure (a) the London Borough of Haringey and (b) London in the last 12 months.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107249","107249"
"http://data.parliament.uk/resources/768888","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what information his Department holds on the number of households placed in bed and breakfast accommodation, hotels and hostels as overnight interim accommodation in (a) the London Borough of Haringey and (b) London in the last 12 months.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107248","107248"
"http://data.parliament.uk/resources/768889","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what information his Department holds on the number of households (a) with and (b) without dependent children who have resided in temporary accommodation for more than (i) one, (ii) two, (iii) three and (iv) four years in (A) the London Borough of Haringey and (B) London.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107246","107246"
"http://data.parliament.uk/resources/768890","2017-10-16","Department for Communities and Local Government","2017-10-11","To ask the Secretary of State for Communities and Local Government, what information his Department holds on the number of households in temporary accommodation that have been moved into permanent accommodation in (a) the London Borough of Haringey and (b) London in the last year.","Biography information for Mr David Lammy","Mr David Lammy","House of Commons Tabled Parliamentary Question 2017/19 107247","107247"
"http://data.parliament.uk/resources/768891","2017-10-16","Department of Health","2017-10-11","To ask the Secretary of State for Health, whether e-cigarettes can be promoted in public health campaigns under the Tobacco Products Directive.","Biography information for Mrs Anne Main","Mrs Anne Main","House of Commons Tabled Parliamentary Question 2017/19 107264","107264"
"http://data.parliament.uk/resources/768892","2017-10-16","Department for Digital, Culture, Media and Sport","2017-10-11","To ask the Secretary of State for Digital, Culture, Media and Sport, what discussions she has had with (a) campaigners and (b) sports governance bodies on making sports governance bodies that (i) are or (ii) recently have been in receipt of public funds subject to the Freedom of Information Act.","Biography information for Jo Stevens","Jo Stevens","House of Commons Tabled Parliamentary Question 2017/19 107218","107218"
"http://data.parliament.uk/resources/768893","2017-10-16","Department for Digital, Culture, Media and Sport","2017-10-11","To ask the Secretary of State for Digital, Culture, Media and Sport, how much funding from the public purse has been allocated to non-Olympic sport in each year since 2012.","Biography information for Jo Stevens","Jo Stevens","House of Commons Tabled Parliamentary Question 2017/19 107219","107219"
